dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
EOGVerticalSignal,0,15981.5645,success,0.7207988980716253,1353.8165,0.7346189164370983,1366.9817,0.7264003673094583,1462.365,0.7207988980716253,1448.0217,0.7346189164370983,1408.1847,0.7264003673094583,1365.8944,0.7181359044995409,1167.6782,0.7070247933884297,1175.6083,0.7180670339761249,1161.7511,0.7181359044995409,1144.523,0.7070247933884297,1158.3181,0.7180670339761249,1150.4155
EOGVerticalSignal,1,15787.2442,success,0.7182966023875115,1352.7457,0.7044995408631772,1396.2366,0.7127640036730947,1387.6444,0.7182966023875115,1362.1104,0.7044995408631772,1377.3764,0.7127640036730947,1343.4288,0.7073002754820936,1137.1804,0.7045684113865932,1200.3666,0.7101010101010101,1177.2795,0.7073002754820936,1136.1925,0.7045684113865932,1138.3316,0.7101010101010101,1136.0254
EOGVerticalSignal,2,15783.0179,success,0.7071625344352617,1353.1175,0.6933884297520662,1385.5535,0.6933654729109274,1360.1592,0.7071625344352617,1377.6926,0.6933884297520662,1356.7115,0.6933654729109274,1373.4189,0.7017217630853995,1184.1032,0.7044536271809,1174.9026,0.6878558310376492,1153.7463,0.7017217630853995,1127.9482,0.7044536271809,1145.1217,0.6878558310376492,1165.5018
EOGVerticalSignal,3,15981.0922,success,0.7375573921028465,1397.233,0.7210743801652892,1450.8934,0.7293617998163452,1448.9522,0.7375573921028465,1416.6363,0.7210743801652892,1383.1501,0.7293617998163452,1369.2119,0.7238292011019284,1134.63,0.7403810835629017,1125.6907,0.73767217630854,1168.4964,0.7238292011019284,1165.768,0.7403810835629017,1176.9571,0.73767217630854,1161.9541
EOGVerticalSignal,4,15654.0913,success,0.729315886134068,1404.6587,0.7459136822773186,1405.3993,0.7182736455463729,1334.5164,0.729315886134068,1337.8894,0.7459136822773186,1306.7438,0.7182736455463729,1334.2349,0.743067033976125,1140.8477,0.7430899908172636,1165.3993,0.7403810835629017,1153.4576,0.743067033976125,1137.5085,0.7430899908172636,1149.8542,0.7403810835629017,1159.8128
EthanolLevel,0,19524.7258,success,0.8690476190476191,1724.1901,0.8650793650793651,1719.2038,0.873015873015873,1733.5947,0.8690476190476191,1721.4939,0.8650793650793651,1821.262,0.873015873015873,1690.8574,0.884920634920635,1422.2406,0.8928571428571429,1481.5295,0.8948412698412698,1431.3871,0.884920634920635,1378.7667,0.8928571428571429,1397.7578,0.8948412698412698,1420.1502
EthanolLevel,1,19465.6777,success,0.8908730158730158,1710.1165,0.8888888888888888,1703.3133,0.8888888888888888,1750.8745,0.8908730158730158,1697.0113,0.8888888888888888,1683.3915,0.8888888888888888,1685.3176,0.9107142857142857,1392.1812,0.8988095238095237,1383.8092,0.9107142857142857,1422.1375,0.9107142857142857,1450.8996,0.8988095238095237,1454.6113,0.9107142857142857,1446.3911
EthanolLevel,2,19476.3271,success,0.8492063492063492,1777.2472,0.8472222222222222,1752.7056,0.8472222222222223,1739.1881,0.8492063492063492,1726.1597,0.8472222222222222,1735.864,0.8472222222222223,1664.663,0.8829365079365079,1392.8192,0.873015873015873,1375.1116,0.8829365079365079,1412.9847,0.8829365079365079,1431.5819,0.873015873015873,1374.3702,0.8829365079365079,1401.9627
EthanolLevel,3,19214.9898,success,0.873015873015873,1695.6338,0.871031746031746,1696.869,0.871031746031746,1659.0146,0.873015873015873,1716.7758,0.871031746031746,1712.2984,0.871031746031746,1714.1297,0.9027777777777777,1405.7424,0.9107142857142857,1395.3035,0.9166666666666666,1392.5265,0.9027777777777777,1375.6983,0.9107142857142857,1385.9292,0.9166666666666666,1388.8929
EthanolLevel,4,19594.9605,success,0.871031746031746,1829.6603,0.871031746031746,1766.894,0.8630952380952381,1802.4296,0.871031746031746,1738.7579,0.871031746031746,1688.6667,0.8630952380952381,1684.5297,0.8948412698412698,1393.4397,0.9007936507936508,1385.1066,0.8988095238095237,1413.8983,0.8948412698412698,1406.8934,0.9007936507936508,1410.853,0.8988095238095237,1396.0887
FaceAll,0,3107.6843,success,0.8768328445747801,259.7268,0.8768328445747801,259.6298,0.8768232610737354,258.9938,0.8768328445747801,257.8727,0.8768328445747801,257.5868,0.8768232610737354,257.4294,0.9000345006037606,238.5421,0.892904375826577,239.5368,0.8839917198550974,239.4426,0.9000345006037606,238.9566,0.892904375826577,239.3034,0.8839917198550974,238.6341
FaceAll,1,2989.0986,success,0.8678818545991221,254.6219,0.876784927069557,249.7255,0.8660801564027371,244.1264,0.8678818545991221,243.6757,0.876784927069557,245.4826,0.8660801564027371,248.2035,0.8803691564602381,230.9923,0.8785866252659421,233.2925,0.8839629693519636,232.569,0.8803691564602381,230.403,0.8785866252659421,230.5269,0.8839629693519636,228.0825
FaceAll,2,2974.3086,success,0.8839150518467407,249.2344,0.8803595729591934,248.2664,0.8750023958752612,245.716,0.8839150518467407,246.0738,0.8803595729591934,246.05,0.8750023958752612,246.4397,0.892856458321354,229.7686,0.8999865830985376,229.1184,0.9035420619860847,229.086,0.892856458321354,228.321,0.8999865830985376,229.0094,0.9035420619860847,229.0027
FaceAll,3,3034.5437,success,0.8839150518467407,255.4946,0.8874896977363771,248.5866,0.8892434784275393,246.3892,0.8839150518467407,245.1282,0.8874896977363771,258.8069,0.8892434784275393,249.4912,0.8964215207099459,238.2791,0.8928468748203094,236.9556,0.8982040519042417,233.8362,0.8964215207099459,233.0854,0.8928468748203094,233.41,0.8982040519042417,233.9312
FaceAll,4,2978.0912,success,0.8803979069633718,245.9094,0.8803979069633718,246.7444,0.8714948344929371,246.9193,0.8803979069633718,247.7328,0.8803979069633718,247.294,0.8714948344929371,247.1505,0.8839917198550974,230.3995,0.8911218446322811,230.2299,0.8822091886608016,229.6533,0.8839917198550974,229.4541,0.8911218446322811,229.4663,0.8822091886608016,228.9096
FaceFour,0,1594.6324,success,0.875,173.1663,0.875,155.5959,0.9166666666666666,152.3501,0.875,173.4516,0.875,156.1125,0.9166666666666666,152.1499,0.875,106.6981,0.9166666666666666,96.6055,0.9166666666666666,94.8238,0.875,105.883,0.9166666666666666,95.7581,0.9166666666666666,90.0979
FaceFour,1,1394.2537,success,0.875,145.1811,0.875,127.2301,0.875,119.9207,0.875,158.3547,0.875,144.6908,0.875,149.7725,0.875,88.8946,0.875,84.6445,0.875,85.7792,0.875,88.245,0.875,80.0921,0.875,80.6067
FaceFour,2,1447.4697,success,0.875,167.0601,0.8333333333333334,150.1176,0.8333333333333334,147.7279,0.875,161.6415,0.8333333333333334,116.5307,0.8333333333333334,114.1645,0.875,94.2507,0.8333333333333334,94.9302,0.875,94.3073,0.875,105.9475,0.8333333333333334,90.0408,0.875,72.9507
