dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
texture,1,11.7323,success,0.9771717171717172,1.1642,0.9658585858585859,0.9193,0.9793939393939395,1.7913,0.9709090909090908,1.4756,0.9802020202020202,2.7723,0.9717171717171716,2.2441
texture,2,11.1402,success,0.9808080808080808,1.1576,0.9682828282828283,0.91,0.9816161616161616,1.7828,0.9735353535353535,1.4755,0.9816161616161616,2.7711,0.9749494949494949,2.1535
texture,3,11.9562,success,0.9814141414141414,1.149,0.9676767676767678,0.937,0.9838383838383838,1.7981,0.9721212121212122,1.516,0.9854545454545454,2.7902,0.9743434343434343,2.3432
texture,4,11.9596,success,0.9816161616161616,1.1517,0.9678787878787878,0.9527,0.983030303030303,1.8245,0.9731313131313132,1.5697,0.9834343434343434,2.7774,0.9753535353535353,2.2843
MiceProtein,0,5.675,success,0.9855967078189299,0.5887,0.9598765432098766,0.4871,0.9876543209876543,0.9462,0.9753086419753086,0.7576,0.9866255144032922,1.377,0.9742798353909464,1.068
MiceProtein,1,5.6222,success,0.9835390946502057,0.5786,0.9722222222222222,0.474,0.9927983539094649,0.9451,0.9742798353909464,0.7513,0.9876543209876543,1.3722,0.9835390946502057,1.0635
MiceProtein,2,5.7641,success,0.9835390946502057,0.5931,0.9650205761316872,0.4923,0.9917695473251028,0.9604,0.9835390946502058,0.7715,0.9897119341563786,1.3959,0.9866255144032922,1.1003
MiceProtein,3,5.9394,success,0.9866255144032922,0.5867,0.9609053497942387,0.4917,0.9855967078189302,0.9621,0.9639917695473251,0.771,0.9876543209876543,1.3919,0.9639917695473251,1.0848
MiceProtein,4,5.8392,success,0.9876543209876544,0.5768,0.9681069958847738,0.4767,0.9876543209876543,0.9446,0.9619341563786007,0.7484,0.9917695473251028,1.3666,0.9650205761316872,1.0792
steel-plates-fault,0,5.4329,success,0.765750286368843,0.67,0.7348224513172967,0.504,0.786368843069874,0.8803,0.7560137457044673,0.6504,0.8052691867124858,1.2239,0.7714776632302406,0.9084
