dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
GunPointOldVersusYoung,4,1.8277,success,1.0,0.2758,1.0,0.2738,1.0,0.283,1.0,0.288,0.9925925925925926,0.2942,0.9925925925925926,0.2942
Ham,0,2.9404,success,0.8623623623623624,0.3318,0.8438438438438439,0.315,0.8533533533533534,0.5086,0.8440940940940941,0.4242,0.8258258258258259,0.6797,0.7797797797797797,0.5397
Ham,1,2.9298,success,0.8541041041041041,0.3302,0.8358358358358359,0.31,0.826076076076076,0.5152,0.8263263263263264,0.426,0.8078078078078078,0.6743,0.808058058058058,0.5306
Ham,2,2.8526,success,0.8711211211211212,0.32,0.8526026026026026,0.3078,0.8253253253253253,0.4996,0.7975475475475475,0.4119,0.8070570570570571,0.651,0.7885385385385385,0.52
Ham,3,3.0284,success,0.8536036036036037,0.3337,0.8533533533533534,0.3189,0.863113113113113,0.5141,0.8903903903903904,0.4281,0.8806306306306307,0.6763,0.8716216216216216,0.561
Ham,4,2.8996,success,0.8253253253253253,0.325,0.7887887887887888,0.305,0.8160660660660661,0.5046,0.8068068068068067,0.4197,0.8168168168168167,0.6712,0.7615115115115115,0.528
Haptics,0,8.4545,success,0.5617144293614882,0.4359,0.5678733031674209,0.3917,0.49069884364002014,1.7345,0.49069884364002014,1.0059,0.5295374560080442,3.0369,0.5099296128707893,1.6802
Haptics,1,8.4519,success,0.5030165912518854,0.442,0.49698340874811464,0.3642,0.47762694821518353,1.7276,0.45827048768225237,1.0065,0.44519859225741576,3.0408,0.4580191050779286,1.6713
Haptics,2,8.5123,success,0.49698340874811464,0.445,0.5615887380593264,0.3668,0.477124183006536,1.7526,0.5224987430869784,1.0288,0.4901960784313726,3.0709,0.5224987430869784,1.6835
Haptics,3,8.4949,success,0.535570638511815,0.4548,0.5418552036199095,0.3691,0.48391151332327803,1.7568,0.5224987430869784,1.0119,0.5030165912518854,3.0537,0.5098039215686274,1.6838
Haptics,4,8.5176,success,0.4962292609351433,0.4587,0.5480140774258421,0.3717,0.4901960784313726,1.7594,0.477124183006536,1.0266,0.4903217697335345,3.0469,0.477124183006536,1.6803
Herring,0,2.7348,success,0.5786435786435785,0.3169,0.6240981240981242,0.2938,0.6558441558441558,0.4522,0.6406926406926406,0.3725,0.6103896103896104,0.6079,0.5310245310245311,0.472
Herring,1,2.7047,success,0.6248196248196248,0.3056,0.6572871572871573,0.2939,0.55988455988456,0.4624,0.670995670995671,0.3746,0.593073593073593,0.6236,0.6565656565656565,0.4688
Herring,2,2.594,success,0.6262626262626262,0.301,0.6284271284271284,0.2868,0.5483405483405484,0.4511,0.5959595959595959,0.3695,0.5317460317460317,0.6045,0.5952380952380952,0.458
Herring,3,2.6417,success,0.6233766233766233,0.3025,0.6096681096681097,0.2903,0.562049062049062,0.446,0.6414141414141414,0.3786,0.6255411255411256,0.5986,0.5945165945165946,0.453
Herring,4,2.6131,success,0.6103896103896104,0.3047,0.6868686868686869,0.2882,0.6717171717171717,0.4526,0.6558441558441559,0.3718,0.6262626262626262,0.6008,0.6717171717171717,0.4691
HouseTwenty,0,3.0376,success,0.8754578754578755,0.3376,0.8241758241758242,0.2947,0.8003663003663003,0.5232,0.8260073260073261,0.4382,0.7765567765567766,0.7306,0.8021978021978021,0.5824
HouseTwenty,1,3.1624,success,0.9249084249084248,0.3149,0.8736263736263737,0.3042,0.6465201465201466,0.5448,0.6465201465201466,0.4605,0.6978021978021977,0.7686,0.6465201465201466,0.631
HouseTwenty,2,3.1973,success,0.8003663003663003,0.4262,0.8498168498168498,0.3259,0.7509157509157509,0.5424,0.7234432234432235,0.4501,0.6758241758241758,0.7369,0.7014652014652015,0.5829
HouseTwenty,3,2.7763,success,0.847985347985348,0.2143,0.7967032967032969,0.2574,0.6739926739926739,0.5094,0.6996336996336997,0.4095,0.6483516483516484,0.7338,0.6483516483516484,0.5458
HouseTwenty,4,3.6583,success,0.8754578754578755,0.4059,0.8260073260073261,0.3193,0.6996336996336997,0.6197,0.6007326007326007,0.4917,0.6227106227106227,0.8889,0.5238095238095237,0.781
InlineSkate,0,12.4204,success,0.37967914438502676,0.4815,0.3199643493761141,0.5071,0.40077243018419484,2.5493,0.33095662507427215,1.2952,0.37046939988116456,4.4331,0.36066547831253715,2.0052
InlineSkate,1,10.3868,success,0.3300653594771242,0.4382,0.2804515745692216,0.3522,0.2893642305407011,2.333,0.3092691622103387,1.0846,0.2697563874034462,4.1504,0.2997623291740939,1.8319
InlineSkate,2,10.2836,success,0.340463458110517,0.4488,0.35056446821152704,0.3631,0.3104575163398693,2.257,0.30095068330362446,1.0965,0.28015448603683896,4.0862,0.33065953654188945,1.8665
InlineSkate,3,10.3901,success,0.30986333927510396,0.4561,0.3407605466428996,0.3718,0.30986333927510396,2.2916,0.3303624480095068,1.1033,0.3199643493761141,4.0904,0.3202614379084967,1.8971
InlineSkate,4,11.0267,success,0.220736779560309,0.4491,0.29055258467023176,0.3686,0.28966131907308373,2.2704,0.3003565062388592,1.0907,0.27005347593582885,3.9537,0.3095662507427213,1.8801
InsectEPGRegularTrain,0,2.0845,success,1.0,0.2767,1.0,0.279,1.0,0.3275,1.0,0.3242,1.0,0.3799,1.0,0.3775
InsectEPGRegularTrain,1,2.1138,success,1.0,0.2815,1.0,0.2831,1.0,0.3317,1.0,0.3269,1.0,0.3885,1.0,0.3811
InsectEPGRegularTrain,2,2.1725,success,1.0,0.2912,1.0,0.2887,1.0,0.3423,1.0,0.3408,1.0,0.3941,1.0,0.3902
InsectEPGRegularTrain,3,2.1944,success,1.0,0.2907,1.0,0.2963,1.0,0.3427,1.0,0.3448,1.0,0.3984,1.0,0.3951
InsectEPGRegularTrain,4,2.2016,success,1.0,0.297,1.0,0.2967,1.0,0.3441,1.0,0.3445,1.0,0.4001,1.0,0.3915
InsectEPGSmallTrain,0,1.9275,success,1.0,0.2793,0.8222222222222223,0.2807,1.0,0.3081,0.8222222222222223,0.2915,1.0,0.349,0.8222222222222223,0.298
InsectEPGSmallTrain,1,1.8933,success,1.0,0.2691,0.8222222222222223,0.2737,1.0,0.3064,0.8222222222222223,0.2858,1.0,0.3405,0.8222222222222223,0.2996
InsectEPGSmallTrain,2,1.8664,success,1.0,0.2695,0.8222222222222223,0.2699,1.0,0.3048,0.8222222222222223,0.2792,1.0,0.3365,0.8222222222222223,0.2906
InsectEPGSmallTrain,3,1.9133,success,1.0,0.2784,0.8222222222222223,0.2745,1.0,0.3086,0.8222222222222223,0.2852,1.0,0.3502,0.8222222222222223,0.2973
InsectEPGSmallTrain,4,1.925,success,1.0,0.2821,0.8222222222222223,0.2795,1.0,0.3127,0.8222222222222223,0.2895,1.0,0.3445,0.8222222222222223,0.2956
InsectWingbeatSound,0,4.2615,success,0.6000246822164631,0.3967,0.6137233123534493,0.3246,0.595458472170801,0.829,0.5818215475749722,0.52,0.5818215475749722,1.2917,0.5591756139701345,0.7545
InsectWingbeatSound,1,3.6638,success,0.6318647414537826,0.3502,0.6500061705541157,0.2486,0.6137233123534493,0.5954,0.6364309514994445,0.3846,0.5683080340614587,1.2034,0.5590522028878193,0.7379
InsectWingbeatSound,2,4.2638,success,0.5633715907688509,0.3921,0.6044057756386523,0.3242,0.5544242873009996,0.8338,0.5407873627051709,0.5239,0.5498580772553375,1.2953,0.5361594471183512,0.7488
InsectWingbeatSound,3,4.2284,success,0.6089719856843144,0.4009,0.6179809946933235,0.334,0.6044057756386523,0.8229,0.60446748117981,0.5155,0.60446748117981,1.2816,0.5634332963100087,0.7313
InsectWingbeatSound,4,4.6622,success,0.6135999012711341,0.3996,0.6088485746019993,0.3297,0.6135999012711342,0.8501,0.6182895223991114,0.5615,0.6091571023077872,1.456,0.6045291867209676,0.8054
ItalyPowerDemand,0,1.8371,success,0.9703557312252965,0.2766,0.9848484848484849,0.2828,0.9703557312252965,0.289,0.9696969696969697,0.2839,0.9552042160737813,0.2907,0.9696969696969697,0.2863
ItalyPowerDemand,1,2.1043,success,0.9703557312252965,0.4391,0.9552042160737813,0.3013,0.9552042160737813,0.305,0.9552042160737813,0.3006,0.9262187088274044,0.314,0.9696969696969697,0.3049
ItalyPowerDemand,2,1.7525,success,0.9855072463768115,0.271,0.9262187088274044,0.268,0.9703557312252965,0.2713,0.9703557312252965,0.2714,0.9703557312252965,0.2809,0.9703557312252965,0.273
ItalyPowerDemand,3,1.7923,success,0.9703557312252965,0.2984,0.9703557312252965,0.2779,0.9413702239789196,0.274,0.9703557312252965,0.2714,0.955862977602108,0.2773,0.9703557312252965,0.2728
ItalyPowerDemand,4,1.8312,success,0.9696969696969697,0.2806,0.9848484848484849,0.2833,0.9696969696969697,0.292,0.9552042160737813,0.2811,0.9696969696969697,0.2889,0.9696969696969697,0.2853
LargeKitchenAppliances,0,14.5201,success,0.6533333333333333,0.6172,0.664,0.4681,0.6586666666666666,2.5973,0.6373333333333333,1.411,0.6693333333333333,4.6051,0.6453333333333333,2.4139
LargeKitchenAppliances,1,12.5305,success,0.6773333333333333,0.6172,0.6533333333333333,0.4732,0.664,2.6415,0.632,1.4095,0.6346666666666666,4.6839,0.6426666666666666,2.4128
LargeKitchenAppliances,2,12.2969,success,0.6746666666666666,0.5959,0.6266666666666666,0.4404,0.6426666666666666,2.5848,0.6133333333333333,1.3923,0.6586666666666666,4.6295,0.6293333333333333,2.3684
LargeKitchenAppliances,3,12.5084,success,0.68,0.6079,0.6426666666666666,0.4589,0.6346666666666666,2.6587,0.64,1.3948,0.6373333333333333,4.7306,0.632,2.375
LargeKitchenAppliances,4,12.3984,success,0.6693333333333333,0.6007,0.632,0.4587,0.6426666666666666,2.6285,0.6186666666666666,1.3879,0.624,4.6468,0.608,2.396
Lightning2,0,2.5603,success,0.8333333333333334,0.3084,0.8166666666666668,0.2987,0.8166666666666668,0.4417,0.8000000000000002,0.3739,0.8166666666666668,0.555,0.8166666666666668,0.4498
Lightning2,1,2.613,success,0.8166666666666668,0.2981,0.8166666666666668,0.288,0.8833333333333333,0.4359,0.8333333333333334,0.3749,0.8833333333333333,0.5626,0.8833333333333333,0.4512
Lightning2,2,2.6104,success,0.7833333333333333,0.3003,0.7666666666666666,0.2879,0.85,0.4328,0.7666666666666666,0.3758,0.8333333333333334,0.564,0.8333333333333334,0.4462
Lightning2,3,2.585,success,0.7833333333333332,0.2972,0.7833333333333333,0.2872,0.8166666666666668,0.427,0.7999999999999999,0.3697,0.7999999999999999,0.5502,0.7666666666666666,0.4466
Lightning2,4,2.6534,success,0.7666666666666666,0.3116,0.8000000000000002,0.3009,0.7999999999999999,0.422,0.7999999999999999,0.3685,0.8166666666666668,0.5381,0.7666666666666666,0.4438
Lightning7,0,2.8565,success,0.7143719806763285,0.4288,0.5585748792270531,0.3454,0.7010869565217392,0.5137,0.7016908212560388,0.3948,0.7016908212560388,0.6076,0.7016908212560388,0.4247
Lightning7,1,2.8733,success,0.7433574879227053,0.3366,0.6714975845410628,0.3419,0.7578502415458938,0.4904,0.6865942028985508,0.4255,0.716183574879227,0.6153,0.6878019323671497,0.4421
Lightning7,2,2.4949,success,0.7143719806763285,0.3001,0.657608695652174,0.2816,0.6992753623188405,0.4394,0.657608695652174,0.3463,0.657608695652174,0.5751,0.6437198067632851,0.4197
Lightning7,3,2.6552,success,0.657608695652174,0.3027,0.5712560386473431,0.2806,0.6727053140096618,0.4428,0.6727053140096619,0.3466,0.716183574879227,0.5955,0.6733091787439612,0.4127
Lightning7,4,2.7635,success,0.714975845410628,0.3394,0.6002415458937199,0.2918,0.7282608695652174,0.4538,0.6714975845410628,0.3621,0.7572463768115941,0.6034,0.657608695652174,0.4295
Mallat,0,3.3669,success,0.9463937621832358,0.3161,0.5818713450292398,0.3028,0.8898635477582846,0.5916,0.6189083820662767,0.4718,0.8723196881091617,0.9029,0.5828460038986355,0.6462
Mallat,1,3.2872,success,0.9103313840155945,0.3062,0.783625730994152,0.2923,0.8362573099415206,0.5906,0.7105263157894736,0.4605,0.7982456140350878,0.8916,0.7475633528265107,0.6123
Mallat,2,3.4887,success,0.9259259259259259,0.4021,0.6929824561403509,0.3085,0.8898635477582846,0.5997,0.7680311890838207,0.4743,0.854775828460039,0.9008,0.6569200779727096,0.6575
Mallat,3,3.3822,success,0.8752436647173489,0.3122,0.7826510721247564,0.3001,0.8732943469785575,0.6014,0.6764132553606238,0.4682,0.7485380116959064,0.9035,0.6764132553606238,0.6624
Mallat,4,3.6878,success,0.94541910331384,0.3403,0.6208576998050682,0.3189,0.8742690058479532,0.6268,0.746588693957115,0.4732,0.8567251461988304,1.0686,0.6189083820662767,0.7219
Meat,0,2.0264,success,1.0,0.2787,1.0,0.2763,1.0,0.3198,1.0,0.3135,1.0,0.3636,1.0,0.3542
Meat,1,2.092,success,1.0,0.2863,0.9833333333333334,0.2876,1.0,0.3322,1.0,0.3216,1.0,0.372,1.0,0.3617
Meat,2,2.0973,success,1.0,0.2854,1.0,0.302,1.0,0.3285,1.0,0.3212,1.0,0.375,1.0,0.3609
Meat,3,2.0816,success,1.0,0.2895,1.0,0.2831,1.0,0.3269,1.0,0.3208,1.0,0.3733,1.0,0.3654
Meat,4,2.0827,success,1.0,0.2815,1.0,0.2833,1.0,0.3323,1.0,0.3237,1.0,0.3732,1.0,0.3639
MedicalImages,0,3.8178,success,0.6955380577427821,0.4076,0.6062992125984252,0.3411,0.7427821522309711,0.6666,0.6535433070866141,0.4694,0.7217847769028872,0.9848,0.6614173228346456,0.6358
MedicalImages,1,3.9114,success,0.6876640419947506,0.3979,0.6194225721784777,0.3333,0.7139107611548555,0.6623,0.6482939632545932,0.4587,0.7139107611548557,0.9749,0.6640419947506562,0.6181
MedicalImages,2,3.8194,success,0.6745406824146981,0.4086,0.6089238845144357,0.3425,0.6929133858267718,0.6701,0.6509186351706037,0.4705,0.6902887139107613,0.9811,0.6535433070866141,0.6365
MedicalImages,3,3.9121,success,0.6692913385826772,0.3953,0.5826771653543307,0.325,0.6929133858267716,0.6626,0.6535433070866141,0.4605,0.6955380577427821,0.9858,0.6377952755905512,0.612
MedicalImages,4,4.0586,success,0.6797900262467191,0.4085,0.6036745406824147,0.4226,0.7034120734908137,0.6749,0.6482939632545931,0.547,0.6824146981627296,1.0474,0.6456692913385826,0.6366
MiddlePhalanxOutlineCorrect,0,4.1089,success,0.8083333333333332,0.4131,0.79,0.3543,0.8083333333333332,0.6562,0.8016666666666667,0.5253,0.8150000000000001,0.9647,0.8000000000000002,0.7285
MiddlePhalanxOutlineCorrect,1,4.0259,success,0.8183333333333334,0.4187,0.7883333333333332,0.3591,0.8283333333333333,0.6746,0.8116666666666666,0.5397,0.8116666666666666,0.9724,0.8166666666666668,0.7414
MiddlePhalanxOutlineCorrect,2,4.1234,success,0.805,0.4125,0.7866666666666667,0.3559,0.8033333333333333,0.6645,0.8033333333333333,0.5243,0.8099999999999999,0.967,0.8000000000000002,0.729
MiddlePhalanxOutlineCorrect,3,3.9384,success,0.8033333333333333,0.417,0.7916666666666666,0.3614,0.8016666666666667,0.6686,0.8083333333333332,0.5431,0.8033333333333333,0.9718,0.8000000000000002,0.7262
MiddlePhalanxOutlineCorrect,4,4.1921,success,0.7933333333333333,0.4398,0.775,0.3826,0.7999999999999999,0.7492,0.8000000000000002,0.5394,0.8016666666666666,0.9828,0.8099999999999999,0.735
MiddlePhalanxOutlineAgeGroup,0,2.9069,success,0.815022631204878,0.3534,0.8050723824486589,0.3223,0.8099913964014513,0.4917,0.8050536789735533,0.4165,0.7975348819810723,0.6529,0.7974974750308608,0.509
MiddlePhalanxOutlineAgeGroup,1,2.9985,success,0.7950660232671231,0.3426,0.8075038342123966,0.3201,0.7875285227995361,0.48,0.7950660232671231,0.3978,0.8075225376875023,0.6474,0.7900160849885909,0.5011
MiddlePhalanxOutlineAgeGroup,2,2.8501,success,0.7924288332772229,0.3486,0.7900160849885909,0.3151,0.7899599745632738,0.4828,0.7899412710881681,0.4026,0.7724348183892568,0.6481,0.7799536153817379,0.4959
MiddlePhalanxOutlineAgeGroup,3,2.9058,success,0.7825533984214267,0.3548,0.7949538024164889,0.3208,0.7949163954662776,0.4883,0.8074477237870795,0.4045,0.7900160849885909,0.652,0.7899412710881681,0.4974
MiddlePhalanxOutlineAgeGroup,4,2.8712,success,0.8075038342123966,0.3492,0.8000224441701268,0.3175,0.7850035536602701,0.4937,0.8024725994089702,0.4083,0.7824972879961097,0.6524,0.7899973815134852,0.4945
MiddlePhalanxTW,0,3.3049,success,0.6265664160401002,0.3795,0.6290726817042607,0.3274,0.6165413533834586,0.5974,0.6215538847117795,0.4404,0.5989974937343359,0.8525,0.6190476190476191,0.5643
MiddlePhalanxTW,1,3.3953,success,0.6215538847117794,0.375,0.6290726817042607,0.3233,0.6115288220551379,0.6,0.6240601503759398,0.4281,0.5914786967418545,0.8395,0.631578947368421,0.5574
MiddlePhalanxTW,2,3.228,success,0.6290726817042607,0.384,0.6466165413533834,0.2867,0.6215538847117794,0.5653,0.6365914786967418,0.4334,0.6165413533834586,0.8463,0.6390977443609023,0.5667
MiddlePhalanxTW,3,3.2796,success,0.6265664160401002,0.3852,0.6390977443609023,0.3265,0.6040100250626566,0.6023,0.6215538847117794,0.4299,0.5964912280701754,0.8374,0.6265664160401002,0.5555
MiddlePhalanxTW,4,3.3602,success,0.6090225563909774,0.3751,0.6190476190476191,0.3188,0.6115288220551379,0.5848,0.6190476190476191,0.4249,0.5864661654135338,0.8389,0.6365914786967418,0.5491
MixedShapesRegularTrain,0,18.1895,success,0.8840391506144338,0.7524,0.8659909097467716,0.6391,0.8680229901642499,3.4186,0.8400668542433206,2.4971,0.8600269340836398,6.1441,0.8260707500661328,4.4111
MixedShapesRegularTrain,1,18.2853,success,0.8880191424380155,0.7217,0.8900512228554938,0.6221,0.8699949498593176,3.4874,0.8460428540509343,2.5134,0.8700189981482818,6.2068,0.8560108698266119,4.4432
MixedShapesRegularTrain,2,18.325,success,0.8860592068874299,0.7187,0.8560469422600582,0.627,0.8639949017627396,3.4702,0.8560108698266119,2.5333,0.8640189500517037,6.1536,0.834006685424332,4.4744
