dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
steel-plates-fault,3,2246.6064,success,0.7817869415807559,174.3613,0.7817869415807559,174.7184,0.7794959908361969,175.89,0.7817869415807559,174.6612,0.7817869415807559,174.1169,0.7794959908361969,177.1509,0.7709049255441007,184.54,0.7737686139747995,184.4899,0.7754868270332187,183.9019,0.7709049255441007,184.0355,0.7737686139747995,183.453,0.7754868270332187,185.9775
steel-plates-fault,4,2231.9274,success,0.7869415807560137,176.3701,0.7875143184421535,171.9058,0.7846506300114547,171.8505,0.7869415807560137,171.11,0.7875143184421535,174.6851,0.7846506300114547,174.4463,0.7800687285223368,183.8166,0.7743413516609393,185.2953,0.7829324169530355,183.3114,0.7800687285223368,183.5131,0.7743413516609393,183.7518,0.7829324169530355,184.6549
climate-model-simulation-crashes,0,263.6981,success,0.9465020576131687,22.2583,0.9444444444444443,22.2616,0.948559670781893,22.3565,0.9465020576131687,22.3396,0.9444444444444443,22.2562,0.948559670781893,22.231,0.9382716049382717,20.3052,0.9403292181069958,20.1656,0.9465020576131687,20.3913,0.9382716049382717,20.2354,0.9403292181069958,20.096,0.9465020576131687,19.9957
climate-model-simulation-crashes,1,272.0831,success,0.9465020576131687,22.9689,0.9444444444444443,22.9466,0.9382716049382717,22.9061,0.9465020576131687,23.1545,0.9444444444444443,22.8263,0.9382716049382717,23.0261,0.9320987654320988,21.14,0.9403292181069958,20.84,0.9382716049382717,20.7634,0.9320987654320988,20.977,0.9403292181069958,20.8306,0.9382716049382717,20.6471
climate-model-simulation-crashes,2,278.5668,success,0.9382716049382717,22.4117,0.9444444444444443,22.4614,0.9423868312757202,22.4658,0.9382716049382717,22.6384,0.9444444444444443,22.4098,0.9423868312757202,24.6807,0.9300411522633745,22.1215,0.9362139917695473,21.8996,0.9362139917695473,21.928,0.9300411522633745,22.0285,0.9362139917695473,22.1913,0.9362139917695473,21.7389
climate-model-simulation-crashes,3,268.9004,success,0.9362139917695472,23.0786,0.9403292181069958,23.0341,0.9382716049382717,23.004,0.9362139917695472,23.0828,0.9403292181069958,22.9076,0.9382716049382717,22.7245,0.934156378600823,20.5573,0.934156378600823,20.402,0.9362139917695472,20.2074,0.934156378600823,20.5467,0.934156378600823,20.4403,0.9362139917695472,20.1431
climate-model-simulation-crashes,4,276.0764,success,0.9362139917695473,23.5643,0.9362139917695473,23.7553,0.9382716049382717,23.3532,0.9362139917695473,23.546,0.9362139917695473,23.4656,0.9382716049382717,23.2825,0.9300411522633745,21.2151,0.934156378600823,21.0724,0.934156378600823,20.7349,0.9300411522633745,21.2429,0.934156378600823,21.06,0.934156378600823,20.5816
wilt,0,486.1478,success,0.9866815514331334,39.1383,0.9866813932192041,39.1665,0.9866813932192041,39.3256,0.9866815514331334,39.6228,0.9866813932192041,39.3723,0.9866813932192041,39.2358,0.9876002997204676,38.3988,0.9878295517039956,38.3773,0.987829709917925,38.3648,0.9876002997204676,38.5211,0.9878295517039956,38.4057,0.987829709917925,38.4012
wilt,1,488.5512,success,0.9871410046837651,39.0037,0.9869112780584492,39.4444,0.9866817096470627,39.1947,0.9871410046837651,39.113,0.9869112780584492,38.8979,0.9866817096470627,38.8923,0.9878300263457835,38.7411,0.9873708895230102,38.8869,0.9866820260749213,39.1476,0.9878300263457835,39.3116,0.9873708895230102,39.0203,0.9866820260749213,39.1659
wilt,2,498.7627,success,0.9859928461989735,40.3626,0.9859930044129029,40.5636,0.9869114362723787,40.5093,0.9859928461989735,40.4091,0.9859930044129029,40.5237,0.9869114362723787,40.853,0.9862224146103603,39.0968,0.9862222563964309,39.2006,0.9862224146103603,38.9708,0.9862224146103603,39.4891,0.9862222563964309,40.1333,0.9862224146103603,39.2446
wilt,3,485.888,success,0.9859928461989735,39.0084,0.9857635942154456,39.5367,0.9866821842888506,39.6414,0.9859928461989735,39.3663,0.9857635942154456,39.3258,0.9866821842888506,38.7141,0.9869112780584492,38.4249,0.9869114362723787,38.2843,0.9859930044129029,38.4384,0.9869112780584492,38.2216,0.9869114362723787,38.4468,0.9859930044129029,38.78
wilt,4,494.7062,success,0.9866820260749213,39.4187,0.9853041409648139,39.4203,0.9857635942154456,39.6987,0.9866820260749213,38.9159,0.9853041409648139,39.2196,0.9857635942154456,39.6636,0.986682500716709,39.5641,0.9864530905192518,39.6201,0.9857642270711627,39.6332,0.986682500716709,39.666,0.9864530905192518,40.0515,0.9857642270711627,39.6775
car,0,309.9951,success,0.9768463756903064,25.8362,0.9762041149324387,26.0569,0.9762041149324387,26.1773,0.9768463756903064,26.1411,0.9762041149324387,26.4675,0.9762041149324387,25.2663,0.9762053548180716,24.0225,0.9768476155759394,24.0172,0.9768476155759394,24.3787,0.9762053548180716,25.1672,0.9768476155759394,23.8828,0.9768476155759394,23.8804
car,1,287.9666,success,0.977489876333807,23.2935,0.9781333769773077,23.4773,0.9768476155759392,23.5946,0.977489876333807,23.4393,0.9781333769773077,23.4219,0.9768476155759392,23.5333,0.9787781175064412,23.0608,0.9813508801948109,23.0316,0.9800638789078095,23.1061,0.9787781175064412,22.9723,0.9813508801948109,23.1977,0.9800638789078095,23.4231
car,2,290.2592,success,0.9774923561050729,23.8344,0.9762053548180716,23.6555,0.9755630940602039,23.6903,0.9774923561050729,23.5147,0.9762053548180716,23.5813,0.9755630940602039,23.7739,0.9794240979212079,23.0603,0.977493595990706,23.1425,0.9813521200804439,23.1999,0.9794240979212079,23.22,0.977493595990706,23.806,0.9813521200804439,23.3226
car,3,302.3598,success,0.9794240979212079,25.5176,0.9794240979212079,25.8144,0.9800663586790753,26.0547,0.9794240979212079,25.1644,0.9794240979212079,23.8847,0.9800663586790753,24.1156,0.9807086194369431,23.6658,0.9800651187934425,23.6809,0.9807073795513102,23.5947,0.9807086194369431,24.341,0.9800651187934425,23.731,0.9807073795513102,23.968
car,4,305.9651,success,0.975558134517672,24.3609,0.9749171136454374,24.7585,0.975559374403305,24.6642,0.975558134517672,24.6218,0.9749171136454374,25.9292,0.975559374403305,25.9132,0.9781284174347759,24.5185,0.9787719180782766,24.6894,0.9800601592509107,24.5276,0.9781284174347759,24.4409,0.9787719180782766,24.2762,0.9800601592509107,24.4005
