dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,et,121958,16.7753,success,2.744170774816624,1.8747,4.152309073826135,0.545,2.411412228122147,2.2557,2.5625354958714626,0.9661,2.3718278142361933,5.3994,2.4839320924028923,2.624
cpu_act,et,671155,16.9057,success,2.719381141312295,1.733,4.180883188655295,0.5471,2.4129687326696767,2.2617,2.635785010058276,0.9713,2.3720352503029765,5.6686,2.4864515623719874,2.6326
cpu_act,et,131932,16.413,success,2.802264918054665,1.7624,4.250941455619326,0.5413,2.4088375632580057,2.248,2.597379814715073,0.9548,2.3793716129481637,5.2475,2.494858301277288,2.6
cpu_act,et,365838,16.3617,success,2.684017622937697,1.7098,3.5904842177429397,0.5443,2.433561925407099,2.2586,2.627184057628021,0.966,2.3880969203048825,5.2181,2.498031404270394,2.5987
cpu_act,et,259178,16.6558,success,2.7013838895455753,1.7365,3.9960253433467963,0.5454,2.4148607752841853,2.2433,2.603918182220378,0.9657,2.388329099210929,5.4347,2.5000056322308892,2.6286
pol,et,121958,21.501,success,7.423786054952199,2.4319,12.076687966653145,1.6021,5.254968680086919,3.3689,7.14656648453859,2.4685,4.583925446549162,4.7641,5.7191074389667405,3.6436
pol,et,671155,21.7041,success,7.338764801388646,2.4989,12.159243016674715,1.5674,5.119902202964155,3.2322,7.108879949062705,2.5344,4.495510825727545,4.8003,5.601036345006508,3.6664
pol,et,131932,21.5752,success,7.326381182602639,2.6208,12.100110169605463,1.6188,5.0203015954162185,3.3076,6.858599919210602,2.4267,4.569345508741624,4.7655,5.671051471015609,3.5727
pol,et,365838,21.0422,success,7.7399535796252765,2.3875,12.673905506293059,1.5898,5.2198050250833665,3.3351,6.929492516297632,2.4519,4.593792455395107,4.7309,5.786668604934433,3.5724
pol,et,259178,22.6521,success,7.512536030983672,2.7429,12.355101186524706,1.7,5.14831434617113,3.6018,6.976354412396844,2.5673,4.5245171437046965,4.8449,5.625960507032353,3.7058
elevators,et,121958,40.2627,success,0.003190218901615104,5.1777,0.0037844483073829773,2.0468,0.002798402228518132,7.9407,0.0032091539637538508,3.1258,0.002611609695775525,10.8093,0.002848861049361098,4.7817
elevators,et,671155,38.0275,success,0.0031570656946219616,5.1409,0.0037411648929860154,1.8336,0.0028010328116565403,6.9607,0.0032183034601335346,2.8851,0.0026125371860202563,10.3872,0.0028581178280639944,4.6683
elevators,et,131932,39.1584,success,0.0031545771079605086,5.0077,0.0037617398729007487,1.8162,0.002792961788020286,7.0902,0.0032335800515654912,2.888,0.00257529431738952,11.0698,0.002831837209249861,4.9292
elevators,et,365838,37.5844,success,0.0031829199733698736,4.9522,0.003792656082659516,1.7786,0.0027956545374766308,6.8732,0.0032249210018215173,2.9045,0.0026042678325084944,10.3072,0.002816643529750957,4.6221
elevators,et,259178,38.5757,success,0.0031355678374406656,5.0839,0.0037716648232534546,1.7683,0.002783930910966277,7.0109,0.0032249535599249133,2.8695,0.0025939364915763025,10.7342,0.002838290303578258,4.7024
isolet,et,121958,211.6062,success,3.4937213039809714,9.4051,3.748605348363854,6.6148,2.8631172056961325,49.4646,2.951291557703753,25.7146,2.8730366114139954,62.9323,2.9305361754583004,41.348
isolet,et,671155,209.4734,success,3.518237917773287,9.1341,3.803557985478875,6.4286,2.878635619094156,46.6283,2.9348383140858867,25.4381,2.878736172137639,62.5534,2.948338544056797,42.0262
isolet,et,131932,209.526,success,3.4885416898024597,9.2449,3.7711404304190808,6.5607,2.8789659963896224,46.0502,2.9831160585967056,25.619,2.8892175413805643,62.6652,2.952681653803923,42.1404
isolet,et,365838,213.2254,success,3.55356620068135,9.5203,3.796189173794924,6.6482,2.9275631495509953,50.0121,2.979254311015636,25.3818,2.945340803431371,62.6506,3.0020755077689594,42.1335
isolet,et,259178,217.7881,success,3.5398600285867894,9.0456,3.802696964016335,6.3818,2.852532070534622,50.1069,2.953574244478275,23.4923,2.8439060595551027,58.4116,2.9072150084297963,40.7346
wine_quality,et,121958,10.0358,success,0.6164532138265545,1.2263,0.6971608703859982,0.6572,0.6109778418475273,1.6805,0.6642110511453071,0.9708,0.6146436993003043,2.487,0.6496521561404631,1.4317
