dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ChilledWaterPredictor,rotf,121958,1228.5323,success,3139.0070750429645,52.3366,3080.802868176304,61.5997,3131.2776386312657,65.6771,3025.1604172588995,133.1472,3030.0793999830244,156.2197,3054.0011494157357,189.0533,3128.991827075109,46.4059,3091.5905098847384,49.077,3156.1224133294013,52.7739,3023.343109995402,117.5865,3011.3684092389644,130.216,3005.194351973598,116.0303
ChilledWaterPredictor,rotf,671155,1269.6524,success,3124.451118909183,57.7618,3191.8233873839504,69.1684,3148.7716301819432,75.5091,3119.912317773292,145.9348,3114.4641529000874,174.4749,3075.210331807492,203.5062,3076.9439034399857,49.8159,3173.8716016581634,49.603,3063.572120206209,49.5177,3049.4541401154515,109.534,3084.400029479019,112.3847,3053.061053546211,114.9765
ChilledWaterPredictor,rotf,131932,1156.8917,success,3230.3883807406532,51.6733,3210.9335743978386,54.8737,3289.49363149107,57.1862,3158.524581796335,124.9497,3134.9691453845594,151.1665,3209.7930430460497,167.5653,3231.521566202084,42.6536,3187.873065933351,43.5694,3046.700607679954,47.1825,3111.8621140798637,102.9811,3089.5305081986226,110.8512,3005.018699822469,135.049
ChilledWaterPredictor,rotf,365838,1096.8336,success,3051.0163314520673,47.3225,3030.2100706491824,49.8909,3116.2666547103595,53.5938,3029.0903206230614,118.8332,3079.496549728876,132.9681,3060.7707185239074,147.0479,3073.1367659886946,40.9973,3095.7166540472285,42.6059,3085.486414346198,43.9863,2970.4005447404957,107.8301,3032.1099784809994,123.4459,2964.8165499365664,128.83
ChilledWaterPredictor,rotf,259178,1111.171,success,3239.2984180596372,48.0187,3309.8022923005847,49.3092,3110.020426157403,55.254,3008.0242937876174,123.8096,3150.098505722988,141.5784,3091.4429295284294,158.6088,3182.4739418251697,42.7019,3231.1426124747704,44.4947,3188.004641265395,47.2126,3165.775264529155,103.4393,3181.0328937781997,112.0954,3185.449803152962,120.4857
CopperConcentration,rotf,121958,14985.6569,success,1.7956131396450854,373.0599,1.7701414900106969,604.4013,1.8251260015830129,889.0305,1.7705498317195616,1414.9847,1.7598460129039417,2263.8459,1.772741733428331,3378.4616,1.8035816032963705,375.4432,1.7831849471373882,577.2714,1.7476965914598075,833.2065,1.7610066157355115,973.6621,1.7395088778535823,1445.1231,1.762630903618055,1277.9138
CopperConcentration,rotf,671155,15386.8381,success,1.8098852362663074,468.7075,1.7864580013990656,781.4297,1.762345631382283,1143.2057,1.7894835789992174,1348.5009,1.7689119715468216,2385.0309,1.7365294356641139,3294.402,1.8208797749777474,394.2728,1.7410682238051098,579.1517,1.7762655783668435,802.9394,1.7688240319871766,972.0523,1.7259972309211724,1368.0869,1.7272935650540873,1422.4952
CopperConcentration,rotf,131932,15634.3293,success,1.8327728066959208,445.455,1.8509772766842023,797.111,1.8595945482544307,1182.9555,1.8309793898284663,1398.0987,1.79841603351323,2434.3088,1.828796746746819,3402.3096,1.8958255565205586,371.7368,1.8841269428429417,652.8284,1.845436267284481,767.346,1.8694366812024767,970.6902,1.865460003772796,1136.4714,1.8002200413582294,1494.5259
CopperConcentration,rotf,365838,15589.146,success,1.7618856239705034,436.2979,1.7691398244015817,809.6551,1.7883690822571037,1199.9587,1.7065755153021807,1342.5392,1.7437208290412067,2463.636,1.728509185515844,3336.9383,1.7506720746038134,408.2941,1.7223634245579411,672.339,1.8047751366927987,768.5795,1.7679337397117845,986.6944,1.7781293906707754,1513.0076,1.7450919923517692,1274.9225
CopperConcentration,rotf,259178,15101.3675,success,1.8473275403320024,456.6235,1.791994229676872,810.1548,1.785727544117562,1140.8094,1.797294998612321,1361.6987,1.7923680745815485,2312.414,1.7714679686263868,3347.7861,1.7850225781633196,417.0272,1.815545495458289,578.023,1.7599247103879672,828.0334,1.7878692867830892,1013.0451,1.786499010851567,1451.3804,1.7616827094296859,1150.5206
