dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ilpd,rotf,259178,24.4096,success,0.721368363437329,1.1979,0.7155774493705528,1.3125,0.7136945812807882,1.2057,0.7347235905856596,2.5285,0.7309250136836344,2.8303,0.7308921729611385,2.7646,0.7251559934318554,1.4322,0.7118336070060208,1.0901,0.7290202517788725,1.0014,0.7327969348659004,2.3868,0.715632183908046,2.4908,0.7480678708264915,2.513
madelon,rotf,121958,2704.2235,success,0.7846153846153846,130.0603,0.7829059829059829,129.124,0.7957264957264957,130.2746,0.8055555555555557,323.0231,0.8059829059829061,325.8814,0.8183760683760685,323.3876,0.7602564102564102,129.471,0.7722222222222221,127.1819,0.7752136752136751,126.935,0.7756410256410255,295.6422,0.7978632478632478,290.0814,0.7935897435897435,273.3593
madelon,rotf,671155,2568.4305,success,0.7858974358974359,129.0126,0.7931623931623931,128.0231,0.7961538461538461,131.391,0.8012820512820512,322.1936,0.8017094017094016,321.7423,0.806837606837607,325.6883,0.7448717948717949,127.7739,0.7653846153846153,126.8066,0.797008547008547,125.8246,0.785042735042735,284.9208,0.797008547008547,251.2085,0.8042735042735042,193.5165
madelon,rotf,131932,2604.4771,success,0.8042735042735044,127.5883,0.8119658119658121,127.7825,0.8106837606837608,128.3224,0.8222222222222223,322.1891,0.8247863247863249,326.945,0.8358974358974359,317.4702,0.7739316239316238,128.4159,0.7931623931623933,128.2178,0.8017094017094019,127.8446,0.7961538461538461,289.5452,0.8111111111111112,282.9477,0.8192307692307693,195.438
madelon,rotf,365838,2659.7174,success,0.7786324786324786,131.0895,0.7833333333333333,130.7655,0.7974358974358974,133.058,0.7982905982905985,327.2095,0.8085470085470085,323.8705,0.8188034188034189,328.1898,0.7568376068376068,131.468,0.7846153846153846,128.9862,0.7713675213675213,130.0649,0.794017094017094,297.0136,0.7974358974358974,290.7492,0.8141025641025642,204.671
madelon,rotf,259178,2517.8254,success,0.7764957264957265,129.8074,0.7893162393162393,129.8,0.8072649572649572,127.6367,0.8094017094017093,322.6075,0.8064102564102563,323.6806,0.8196581196581197,321.912,0.7799145299145299,126.5648,0.7816239316239316,123.5612,0.8034188034188036,125.9012,0.7991452991452991,278.2023,0.811111111111111,199.4734,0.8196581196581197,207.7889
nomao,rotf,121958,3352.0964,success,0.9669224351854467,147.0318,0.9676317174041141,145.889,0.9672125924081442,149.6828,0.9683731994727544,366.2319,0.9681152951064647,369.6685,0.9689535295082768,375.2529,0.966148712732501,223.2385,0.967083627752897,207.1056,0.9657618593010922,203.455,0.9664388543650705,372.5101,0.9675027465128158,339.8074,0.9676639640244705,341.364
nomao,rotf,671155,3378.8174,success,0.9670835841005391,147.5844,0.96650327277317,148.4691,0.9672447735499637,159.0668,0.9682442098733027,370.6449,0.9678895531738413,368.8695,0.9675349120645077,377.1234,0.9658906836451889,218.4711,0.965826224702757,204.0165,0.9661486223097597,201.1015,0.9662130968423194,400.6049,0.9663098179952355,338.4668,0.9673737194970574,338.3001
nomao,rotf,131932,3336.2663,success,0.9666645339371825,148.9088,0.9667290271778958,148.4704,0.9665356191703446,155.6116,0.9676962075268015,375.6531,0.967373850454131,370.5498,0.9674060534221297,385.7666,0.9656973754144559,222.5103,0.9650202868097105,154.766,0.9650203117539148,170.9541,0.9661486815522453,415.3808,0.966567815902292,338.3012,0.9657940622690907,338.0224
nomao,rotf,365838,3304.1825,success,0.9673736820807508,151.9694,0.96734152276511,149.377,0.9670190690336472,154.7395,0.9688566618081591,374.0253,0.9681796916883852,377.6416,0.9683408593116308,381.1589,0.9657939500201705,219.054,0.9662775277225212,202.8945,0.9657939437841194,164.4541,0.9665999689818817,341.0432,0.9672447330156314,338.1343,0.9679539809360177,340.0265
nomao,rotf,259178,3348.2025,success,0.9669224227133446,141.9168,0.9664065890365606,143.3262,0.9665677971941387,144.2832,0.9682119819610996,356.7161,0.967631695577935,359.4637,0.9675672085732732,369.2784,0.9655361204864943,219.9345,0.9664066046266884,198.3997,0.9660519666353804,203.7031,0.9664066108627396,417.2913,0.9670191345121838,343.4711,0.9674060128877974,342.1658
ozone-level-8hr,rotf,121958,241.4712,success,0.9434210526315789,12.0403,0.9456140350877194,10.9862,0.943859649122807,12.0097,0.9451754385964911,27.5643,0.9473684210526315,27.8763,0.9464912280701755,28.4243,0.9451754385964911,10.6954,0.9478070175438598,11.3835,0.9456140350877194,11.0963,0.9456140350877194,28.8426,0.9478070175438598,27.4129,0.9451754385964913,27.1423
ozone-level-8hr,rotf,671155,245.2625,success,0.9447368421052632,10.9967,0.9447368421052632,11.2893,0.9447368421052631,11.0095,0.943859649122807,29.2411,0.943859649122807,27.8794,0.9473684210526315,28.2482,0.9460526315789473,9.9457,0.9464912280701755,10.1813,0.9451754385964911,10.3616,0.9456140350877194,26.2358,0.9456140350877194,28.3559,0.9469298245614035,27.169
ozone-level-8hr,rotf,131932,253.8526,success,0.9429824561403509,10.9193,0.9434210526315789,11.7899,0.9469298245614035,11.6614,0.9447368421052632,30.5932,0.9456140350877194,27.7449,0.9478070175438597,28.8002,0.9442982456140352,10.5387,0.9434210526315789,11.6191,0.9460526315789474,11.7409,0.9469298245614034,28.2301,0.9442982456140351,27.798,0.9473684210526315,27.056
ozone-level-8hr,rotf,365838,239.8678,success,0.9434210526315789,10.7425,0.9456140350877194,11.4272,0.9442982456140351,11.6066,0.9442982456140351,28.4421,0.9442982456140351,28.4533,0.9442982456140351,28.5966,0.9473684210526315,11.3027,0.9447368421052631,11.274,0.9464912280701755,11.3936,0.9460526315789474,26.9602,0.9442982456140351,26.8454,0.9464912280701755,27.0217
