dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,1.0,4.0,2.0,5.0,3.0,6.0
Adiac,3.0,4.0,1.0,6.0,2.0,5.0
ArrowHead,2.5,6.0,4.0,5.0,2.5,1.0
ArticularyWordRecognition,1.0,2.0,3.0,5.0,4.0,6.0
AtrialFibrillation,2.5,5.0,1.0,5.0,2.5,5.0
BME,3.0,6.0,3.0,5.0,1.0,3.0
BasicMotions,1.0,3.0,4.0,5.0,2.0,6.0
Beef,1.0,6.0,2.0,5.0,3.0,4.0
BeetleFly,1.0,6.0,2.0,4.0,3.0,5.0
BirdChicken,2.0,6.0,3.0,4.5,1.0,4.5
CBF,2.5,6.0,1.0,5.0,2.5,4.0
Car,1.0,6.0,2.0,4.0,3.0,5.0
Chinatown,3.0,6.0,1.5,4.5,1.5,4.5
ChlorineConcentration,3.0,6.0,2.0,5.0,1.0,4.0
CinCECGTorso,1.0,6.0,3.0,4.0,2.0,5.0
Coffee,2.0,5.0,2.0,5.0,2.0,5.0
Computers,1.0,2.0,3.0,5.0,4.0,6.0
Cricket,1.0,2.0,4.0,3.0,5.0,6.0
CricketX,1.0,4.0,2.0,5.0,3.0,6.0
CricketY,1.0,5.0,3.0,6.0,2.0,4.0
CricketZ,1.0,4.0,2.0,5.0,3.0,6.0
Crop,1.0,5.0,2.0,4.0,3.0,6.0
DiatomSizeReduction,2.5,5.0,1.0,5.0,2.5,5.0
DistalPhalanxOutlineAgeGroup,2.0,1.0,3.0,4.0,6.0,5.0
DistalPhalanxOutlineCorrect,1.0,3.0,2.0,5.0,4.0,6.0
DistalPhalanxTW,1.0,2.0,3.0,4.0,5.0,6.0
ECG200,4.0,6.0,1.0,5.0,2.0,3.0
ECG5000,1.0,3.0,2.0,5.0,4.0,6.0
ECGFiveDays,1.0,4.0,6.0,3.0,5.0,2.0
EOGHorizontalSignal,1.0,4.0,3.0,5.0,2.0,6.0
EOGVerticalSignal,1.0,2.0,3.0,6.0,4.0,5.0
ERing,3.0,5.0,2.0,6.0,1.0,4.0
Earthquakes,3.0,5.0,4.0,1.0,2.0,6.0
ElectricDevices,5.0,6.0,1.0,4.0,2.0,3.0
Epilepsy,1.0,3.0,2.0,5.0,4.0,6.0
EthanolConcentration,5.0,2.0,3.0,1.0,4.0,6.0
EthanolLevel,5.0,6.0,3.0,4.0,1.0,2.0
FaceAll,1.0,4.0,2.0,5.0,3.0,6.0
FaceFour,2.0,6.0,2.0,4.5,2.0,4.5
FacesUCR,1.0,4.0,2.0,5.0,3.0,6.0
FiftyWords,1.0,4.0,2.0,5.0,3.0,6.0
FingerMovements,4.0,2.0,6.0,3.0,5.0,1.0
Fish,1.0,4.0,2.0,6.0,3.0,5.0
FordA,6.0,4.0,5.0,2.0,3.0,1.0
FordB,6.0,5.0,4.0,3.0,2.0,1.0
FreezerRegularTrain,1.5,6.0,1.5,5.0,3.0,4.0
FreezerSmallTrain,3.0,6.0,1.5,4.5,1.5,4.5
GunPoint,1.0,3.5,2.0,5.0,3.5,6.0
GunPointAgeSpan,2.0,4.0,1.0,5.0,3.0,6.0
GunPointMaleVersusFemale,1.0,4.0,2.5,5.0,2.5,6.0
GunPointOldVersusYoung,3.5,3.5,3.5,3.5,3.5,3.5
Ham,1.0,2.0,3.0,4.0,5.0,6.0
HandMovementDirection,6.0,2.0,3.0,1.0,4.0,5.0
HandOutlines,1.0,2.0,5.0,6.0,3.0,4.0
Handwriting,1.0,6.0,2.0,5.0,3.0,4.0
Haptics,2.0,1.0,4.0,5.0,3.0,6.0
Herring,5.0,4.0,2.0,1.0,6.0,3.0
HouseTwenty,1.0,3.0,2.0,4.0,5.0,6.0
InlineSkate,2.0,1.0,6.0,4.0,3.0,5.0
InsectEPGRegularTrain,3.5,3.5,3.5,3.5,3.5,3.5
InsectEPGSmallTrain,2.0,5.0,2.0,5.0,2.0,5.0
InsectWingbeatSound,1.0,2.0,3.0,6.0,4.0,5.0
ItalyPowerDemand,5.0,6.0,4.0,2.0,3.0,1.0
LSST,1.0,6.0,2.0,5.0,3.0,4.0
LargeKitchenAppliances,2.0,4.5,1.0,4.5,3.0,6.0
Libras,1.0,4.0,3.0,5.0,2.0,6.0
Lightning2,1.0,6.0,2.5,5.0,2.5,4.0
Lightning7,1.0,4.0,3.0,5.0,2.0,6.0
Mallat,1.0,6.0,2.0,4.0,3.0,5.0
Meat,3.5,3.5,3.5,3.5,3.5,3.5
MedicalImages,3.0,6.0,1.0,4.0,2.0,5.0
MiddlePhalanxOutlineAgeGroup,2.0,1.0,6.0,3.0,5.0,4.0
MiddlePhalanxOutlineCorrect,1.0,2.0,4.0,3.0,6.0,5.0
MiddlePhalanxTW,5.0,1.0,4.0,3.0,6.0,2.0
MixedShapesRegularTrain,1.0,3.0,2.0,5.0,4.0,6.0
MixedShapesSmallTrain,1.0,6.0,4.0,2.0,3.0,5.0
MoteStrain,1.0,4.0,2.0,6.0,3.0,5.0
NATOPS,1.0,4.0,2.0,3.0,5.0,6.0
NonInvasiveFetalECGThorax1,1.0,2.0,3.0,5.0,4.0,6.0
NonInvasiveFetalECGThorax2,1.0,3.0,2.0,5.0,4.0,6.0
OSULeaf,1.0,4.0,3.0,5.0,2.0,6.0
OliveOil,3.0,5.5,1.0,4.0,2.0,5.5
PenDigits,1.0,3.0,2.0,4.0,5.0,6.0
