dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
cpu_act,rf,121958,72.8554,success,2.5810176638792424,3.2212,2.6839232715802797,2.0438,2.4746120048614766,10.5253,2.5435293419123455,8.123,2.497386644132066,25.4504,2.538974631108349,17.2369
cpu_act,rf,671155,68.2581,success,2.5921224371906484,3.3474,2.667688413148133,2.0352,2.507173972613408,9.9634,2.5571874884372936,8.4115,2.526608377858439,24.3835,2.5752093158413345,14.6613
cpu_act,rf,131932,70.9101,success,2.6128262482239086,3.2057,2.721695723854054,2.0152,2.541966603879634,9.5497,2.5784395062676704,7.7836,2.554860288303404,24.9252,2.589102720433315,16.4308
cpu_act,rf,365838,64.2243,success,2.586761355631659,3.374,2.717066753362753,2.1411,2.4963017004982597,10.5771,2.56516880811756,7.3634,2.5351918478130258,21.3711,2.5720080634938607,14.2876
cpu_act,rf,259178,75.747,success,2.5791542809567334,4.6418,2.6910324752133206,5.0034,2.5030561234414717,11.6369,2.5753859657820843,9.4655,2.550995787763224,21.5472,2.5908994153024625,15.694
pol,rf,121958,35.7762,success,6.2298839332556275,1.9168,7.613935067760792,2.3767,4.9170716183567205,5.4913,5.743586936009893,4.8256,5.099440249186213,9.4171,5.682731486644016,8.0332
pol,rf,671155,37.7624,success,6.153301790122751,3.6683,7.467614385457928,2.9464,4.872512635892433,5.487,5.624890639698362,4.9452,5.011607463263123,8.5239,5.557776490238202,7.7499
pol,rf,131932,45.4475,success,6.115658842395901,3.8678,7.510963038590018,3.2636,4.926079480115431,7.4899,5.692208228031451,4.8883,5.044737211823875,11.7865,5.607660378840834,10.262
pol,rf,365838,44.2429,success,6.005494444509739,4.5215,7.24761302605958,4.3012,4.926806659804129,5.9169,5.681753899487901,5.7922,5.166798683612932,10.5075,5.712212791488443,9.4274
pol,rf,259178,47.1117,success,6.081140738675111,4.551,7.450335238331275,2.7378,4.895157426189846,6.3934,5.70232747902577,6.1165,5.074238085351722,12.1695,5.654579547920105,10.403
elevators,rf,121958,92.5037,success,0.0031761591576008066,9.8519,0.00338351276088157,5.9533,0.002882823205988816,14.0274,0.0030104715566618835,9.0571,0.002840676913967564,22.8265,0.0029209478324631224,18.6097
elevators,rf,671155,90.898,success,0.0031453210059718653,10.8973,0.0033402943028952073,4.2411,0.0028736218397306507,14.9436,0.003000707790573992,8.4965,0.002855522927579523,24.8171,0.002931830559052209,15.4967
elevators,rf,131932,78.5948,success,0.003172641816047045,7.0603,0.0033865883210707423,4.5513,0.002879107798203761,11.6881,0.002994685643363718,7.9167,0.002824577593225582,21.6175,0.0029023481636917415,13.4474
