dataset,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
GunPointMaleVersusFemale,9.5,12.0,9.5,7.0,7.0,11.0,7.0,5.0,2.0,1.0,3.5,3.5
GunPointOldVersusYoung,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Ham,10.0,12.0,7.0,4.0,6.0,3.0,9.0,11.0,8.0,1.0,2.0,5.0
HandMovementDirection,6.0,9.0,10.0,8.0,1.0,5.0,11.0,7.0,12.0,3.0,2.0,4.0
HandOutlines,11.0,10.0,12.0,6.0,8.0,7.0,4.0,9.0,5.0,3.0,2.0,1.0
Handwriting,7.0,9.0,10.0,1.0,5.0,2.0,8.0,12.0,11.0,3.0,6.0,4.0
Haptics,8.0,11.0,10.0,1.0,6.0,5.0,7.0,12.0,9.0,3.0,2.0,4.0
Herring,7.0,1.0,2.0,8.0,3.0,4.0,9.0,11.0,6.0,12.0,10.0,5.0
HouseTwenty,7.0,10.0,4.0,2.0,5.5,3.0,5.5,12.0,9.0,1.0,11.0,8.0
InlineSkate,6.5,12.0,9.0,3.0,4.0,10.0,11.0,8.0,5.0,6.5,1.0,2.0
InsectEPGRegularTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectEPGSmallTrain,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
InsectWingbeatSound,12.0,9.0,11.0,7.0,5.0,6.0,8.0,2.0,10.0,4.0,3.0,1.0
ItalyPowerDemand,7.0,11.5,10.0,9.0,5.0,7.0,2.5,2.5,11.5,2.5,7.0,2.5
LSST,11.0,10.0,7.0,3.0,2.0,4.0,8.0,9.0,12.0,1.0,5.0,6.0
LargeKitchenAppliances,7.5,12.0,10.0,5.0,9.0,11.0,6.0,7.5,1.0,3.0,2.0,4.0
Libras,12.0,10.0,8.5,6.0,5.0,1.0,11.0,7.0,2.0,4.0,8.5,3.0
Lightning2,2.0,7.0,4.0,1.0,9.0,4.0,6.0,12.0,11.0,4.0,10.0,8.0
Lightning7,4.0,3.0,6.0,2.0,1.0,5.0,8.0,12.0,11.0,7.0,10.0,9.0
Mallat,8.0,11.0,10.0,2.0,6.0,4.0,12.0,7.0,9.0,1.0,3.0,5.0
Meat,8.5,8.5,11.5,2.0,2.0,10.0,11.5,5.5,5.5,2.0,5.5,5.5
MedicalImages,12.0,9.0,7.0,3.0,5.0,1.0,8.0,10.0,11.0,6.0,4.0,2.0
MiddlePhalanxOutlineAgeGroup,12.0,10.0,9.0,11.0,7.0,8.0,5.0,3.0,4.0,1.0,2.0,6.0
MiddlePhalanxOutlineCorrect,12.0,11.0,8.0,6.0,9.0,3.0,4.5,7.0,10.0,1.5,1.5,4.5
MiddlePhalanxTW,10.0,7.0,12.0,4.5,4.5,1.0,6.0,8.0,11.0,3.0,2.0,9.0
MixedShapesRegularTrain,10.0,12.0,11.0,7.0,5.0,8.0,6.0,9.0,4.0,3.0,2.0,1.0
MixedShapesSmallTrain,10.0,7.0,12.0,11.0,3.0,6.0,9.0,8.0,5.0,2.0,4.0,1.0
MoteStrain,6.5,12.0,6.5,9.0,10.0,4.5,11.0,8.0,3.0,1.0,4.5,2.0
NATOPS,12.0,9.0,7.0,11.0,6.0,8.0,10.0,4.0,3.0,5.0,2.0,1.0
NonInvasiveFetalECGThorax1,10.0,11.5,11.5,3.0,5.0,6.0,8.0,9.0,7.0,1.0,4.0,2.0
NonInvasiveFetalECGThorax2,10.0,11.0,12.0,6.0,4.5,4.5,9.0,7.0,8.0,3.0,2.0,1.0
OSULeaf,11.0,10.0,9.0,8.0,3.0,5.0,12.0,7.0,6.0,4.0,2.0,1.0
OliveOil,2.0,5.0,12.0,7.5,2.0,2.0,5.0,11.0,5.0,7.5,9.5,9.5
PenDigits,7.0,12.0,11.0,3.0,6.0,5.0,10.0,9.0,8.0,2.0,4.0,1.0
PhalangesOutlinesCorrect,11.0,12.0,10.0,3.0,4.0,6.0,7.0,8.0,9.0,1.0,5.0,2.0
Phoneme,12.0,10.0,7.0,6.0,3.0,2.0,11.0,9.0,8.0,5.0,1.0,4.0
PigAirwayPressure,2.0,10.0,7.0,3.5,5.5,5.5,11.0,12.0,3.5,9.0,1.0,8.0
PigArtPressure,9.0,10.0,6.5,4.0,1.5,3.0,12.0,11.0,5.0,6.5,8.0,1.5
PigCVP,6.0,2.0,3.0,4.0,12.0,8.0,5.0,1.0,10.0,7.0,11.0,9.0
Plane,12.0,10.0,11.0,9.0,2.5,2.5,2.5,6.0,2.5,7.5,7.5,5.0
PowerCons,5.0,9.0,7.0,1.0,2.5,2.5,11.5,7.0,11.5,7.0,4.0,10.0
ProximalPhalanxOutlineAgeGroup,1.0,6.0,11.0,2.0,3.0,7.0,8.0,12.0,5.0,9.0,4.0,10.0
ProximalPhalanxOutlineCorrect,12.0,11.0,7.0,10.0,4.0,6.0,3.0,8.0,9.0,1.0,2.0,5.0
ProximalPhalanxTW,8.0,12.0,11.0,6.0,5.0,3.0,7.0,10.0,4.0,2.0,1.0,9.0
RacketSports,12.0,11.0,10.0,4.0,5.0,6.0,7.0,9.0,8.0,2.0,1.0,3.0
RefrigerationDevices,7.0,8.0,6.0,3.5,2.0,1.0,12.0,11.0,10.0,9.0,3.5,5.0
Rock,8.5,11.0,5.0,10.0,2.0,6.0,7.0,4.0,12.0,8.5,3.0,1.0
ScreenType,11.0,7.0,12.0,2.0,3.0,5.0,10.0,8.5,8.5,6.0,4.0,1.0
SelfRegulationSCP1,7.0,10.0,12.0,4.0,8.0,5.0,6.0,1.0,2.0,3.0,11.0,9.0
SelfRegulationSCP2,7.0,3.0,12.0,2.0,8.0,1.0,5.0,9.0,11.0,4.0,10.0,6.0
SemgHandGenderCh2,7.0,8.0,9.0,6.0,5.0,4.0,10.0,12.0,11.0,3.0,2.0,1.0
SemgHandMovementCh2,11.0,8.0,10.0,6.0,2.0,1.0,9.0,7.0,12.0,3.5,3.5,5.0
SemgHandSubjectCh2,10.0,9.0,11.0,6.0,4.0,5.0,12.0,8.0,7.0,3.0,2.0,1.0
ShapeletSim,6.0,2.0,3.0,5.0,4.0,1.0,9.0,11.0,12.0,7.0,10.0,8.0
ShapesAll,9.5,9.5,12.0,3.0,6.0,5.0,11.0,8.0,7.0,4.0,1.0,2.0
SmallKitchenAppliances,9.0,11.0,12.0,7.0,10.0,8.0,4.0,5.0,6.0,2.0,3.0,1.0
SmoothSubspace,1.0,12.0,5.5,2.0,3.0,4.0,10.5,10.5,8.0,8.0,8.0,5.5
SonyAIBORobotSurface1,1.5,10.0,8.5,1.5,5.5,8.5,5.5,3.0,7.0,11.0,4.0,12.0
SonyAIBORobotSurface2,1.0,10.0,11.5,2.0,11.5,9.0,7.0,4.5,7.0,3.0,4.5,7.0
StandWalkJump,1.0,5.0,7.5,3.0,9.5,11.0,7.5,3.0,3.0,9.5,12.0,6.0
StarLightCurves,5.0,10.0,12.0,3.0,6.0,2.0,11.0,9.0,8.0,7.0,1.0,4.0
Strawberry,12.0,9.0,11.0,10.0,5.0,8.0,7.0,6.0,2.0,4.0,1.0,3.0
SwedishLeaf,12.0,9.0,11.0,5.0,4.0,6.0,7.0,8.0,10.0,3.0,1.0,2.0
Symbols,9.0,8.0,7.0,3.5,5.5,10.0,12.0,2.0,11.0,5.5,1.0,3.5
SyntheticControl,12.0,11.0,10.0,6.0,4.0,5.0,7.5,9.0,7.5,2.0,1.0,3.0
ToeSegmentation1,7.0,10.0,12.0,1.0,11.0,6.0,4.0,8.0,5.0,9.0,2.0,3.0
ToeSegmentation2,1.0,4.0,3.0,2.0,5.5,5.5,11.5,7.0,11.5,8.5,8.5,10.0
Trace,11.0,2.0,6.0,7.0,3.0,9.0,12.0,10.0,8.0,5.0,1.0,4.0
TwoLeadECG,10.5,3.0,2.0,8.0,4.0,1.0,12.0,7.0,10.5,9.0,6.0,5.0
TwoPatterns,11.0,8.0,7.0,5.0,6.0,3.0,10.0,9.0,12.0,1.0,2.0,4.0
UMD,12.0,6.0,3.5,7.0,3.5,1.0,11.0,9.0,8.0,10.0,5.0,2.0
UWaveGestureLibrary,11.0,10.0,12.0,7.0,6.0,9.0,4.0,8.0,5.0,1.0,2.5,2.5
UWaveGestureLibraryAll,10.0,11.0,12.0,5.0,6.0,4.0,8.0,9.0,7.0,3.0,1.0,2.0
UWaveGestureLibraryX,9.0,11.0,7.0,6.0,5.0,4.0,10.0,12.0,8.0,2.0,3.0,1.0
UWaveGestureLibraryY,9.0,12.0,7.0,5.0,6.0,4.0,11.0,10.0,8.0,1.0,2.0,3.0
UWaveGestureLibraryZ,11.0,12.0,10.0,7.0,8.0,6.0,5.0,9.0,4.0,3.0,2.0,1.0
Wafer,8.0,11.0,12.0,10.0,8.0,8.0,4.0,6.0,3.0,5.0,1.5,1.5
Wine,1.0,8.0,8.0,6.0,8.0,11.0,5.0,3.5,12.0,3.5,2.0,10.0
WordSynonyms,12.0,11.0,6.0,5.0,9.0,4.0,7.5,10.0,7.5,3.0,2.0,1.0
Worms,10.0,11.0,12.0,8.0,4.0,6.0,3.0,9.0,2.0,5.0,7.0,1.0
WormsTwoClass,12.0,10.0,6.0,7.0,8.0,1.0,5.0,11.0,2.0,9.0,3.0,4.0
Yoga,9.0,10.0,8.0,2.0,1.0,3.5,6.0,12.0,11.0,5.0,7.0,3.5
