dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
electricity,rotf,121958,1090.705,success,0.9059377346502627,46.2586,0.9060532547796454,46.7367,0.9073817362675446,41.9546,0.9094322185640848,101.3713,0.910529659793219,105.8162,0.9119447813781552,102.1681,0.8921330791890486,65.2465,0.8918153988332467,58.8837,0.8916421186391729,62.4894,0.8964073239762028,135.1647,0.896869404493733,136.574,0.8966383642349679,137.8962
electricity,rotf,671155,1131.0096,success,0.9092011783053198,54.3167,0.9072950961705076,45.1691,0.9089990180789003,40.9241,0.9112805406342055,109.0194,0.910443019696182,106.2236,0.9105007797608732,104.5365,0.8948189221971928,63.2875,0.8945301218737365,58.2305,0.8946456420031191,59.1981,0.8957142031999075,148.9183,0.894963322358921,144.3422,0.8955698030381795,145.692
electricity,rotf,131932,1100.9898,success,0.9082770172702593,44.0715,0.9072950961705079,42.8742,0.9079593369144573,43.2283,0.9135331831571651,105.255,0.9115404609253163,113.5431,0.9133310229307456,113.3146,0.8918153988332467,60.883,0.8922197192860857,54.8547,0.8889273955986831,53.4259,0.8968982845260788,137.1064,0.8970426846878068,140.3525,0.8947900421648471,141.2499
electricity,rotf,365838,1122.5175,success,0.9057933344885346,49.1248,0.9064286952001387,45.0534,0.9063709351354473,41.4463,0.9104141396638364,110.6126,0.9111939005371686,108.6294,0.9109917403107491,105.1852,0.8884653150811529,61.2666,0.8877721943048575,57.6496,0.8881476347253509,60.8576,0.8975336452376826,140.6617,0.8965806041702766,144.4403,0.896725004332005,145.1016
electricity,rotf,259178,1080.1461,success,0.9067463755559405,43.1357,0.9055911742621152,47.7029,0.9067463755559406,41.9697,0.9105585398255647,104.3285,0.9103852596314908,103.8657,0.9109339802460578,104.0265,0.8949344423265754,58.0307,0.8951943626176861,56.4523,0.894010281291515,60.8125,0.8946745220354648,145.3638,0.8942413215502801,131.5762,0.8922485993184313,134.4595
eye_movements,rotf,121958,534.7321,success,0.6303475279757698,23.0259,0.6334162922765262,23.9411,0.6247984409912127,23.1453,0.639694773023538,54.5292,0.6478743482322886,54.4644,0.637212466900559,55.4976,0.6198326770708928,28.8354,0.6274263699390469,26.5268,0.6278650299070637,24.8674,0.6375046722789038,62.916,0.6383804566491215,63.2495,0.6363368744760681,62.248
eye_movements,rotf,671155,533.2379,success,0.6304951342398034,25.7183,0.6261122455103574,27.8976,0.6363384740237928,22.5969,0.641594971738551,56.1683,0.6407185475492434,52.1667,0.6392595040966977,53.1179,0.6247987609007577,25.0904,0.6227546668724325,24.8466,0.6255289224461206,25.0994,0.6408641703740984,61.4662,0.6361904198863962,64.0866,0.6375051201522668,65.4299
eye_movements,rotf,131932,523.6569,success,0.6322476627088737,24.9008,0.6306417167932933,26.5396,0.6328320094836545,22.9331,0.6471438667773809,53.9809,0.641157015571533,54.2198,0.6389654432429922,55.425,0.6316655553009075,24.2328,0.6337101611845047,24.7613,0.6217308283648182,24.3133,0.643203221002855,60.5441,0.6429096080225124,61.2502,0.6430545270463686,60.5703
eye_movements,rotf,365838,531.6186,success,0.6299112353383856,25.8128,0.6223145353205091,24.0493,0.6300574979823305,22.9723,0.6450994528395108,53.9557,0.6458294864210554,54.6713,0.6418872410988049,54.2715,0.6246524982568129,27.0348,0.624506619504322,24.7531,0.6262594039010282,24.6512,0.6461221396727632,62.1447,0.6445167695943637,61.1156,0.6452466112301815,61.7371
eye_movements,rotf,259178,545.3749,success,0.6329759047969669,26.9014,0.6264051546897011,24.1505,0.6196873741555827,25.9586,0.6421788706399688,57.7753,0.6408648741750972,55.5695,0.6337077938538722,58.4764,0.6157434653036985,27.1894,0.6196875021194007,24.3978,0.6293271444912408,23.6433,0.6319557132581647,62.757,0.6312255517128021,60.2528,0.6446608568534029,63.9605
