dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
SierraNevadaMountainsSnow,0,1301.2971,success,50.469186513274174,113.3197,50.25820989830774,112.3855,50.781323239933464,112.8343,50.469186513274174,111.4969,50.25820989830774,113.358,50.781323239933464,115.3278,49.97756152653333,95.2727,49.923655353513446,95.851,49.58652700871818,95.175,49.97756152653333,94.9645,49.923655353513446,97.2347,49.58652700871818,98.1985
SierraNevadaMountainsSnow,1,1271.8741,success,51.880461299614446,110.1836,52.13826901507304,112.7911,52.198618870683134,113.5864,51.880461299614446,114.6341,52.13826901507304,107.5494,52.198618870683134,107.4111,50.865317504422165,91.2012,51.12200088796658,91.5544,51.39719602090175,92.5201,50.865317504422165,92.4576,51.12200088796658,95.0065,51.39719602090175,98.0374
SierraNevadaMountainsSnow,2,1297.7833,success,49.347099489120446,112.5724,49.82764306664314,114.7922,49.85959434353455,117.2705,49.347099489120446,113.189,49.82764306664314,111.5801,49.85959434353455,111.6765,48.78691946327387,94.075,49.24161935901726,94.937,49.038418223542244,95.7952,48.78691946327387,95.4985,49.24161935901726,95.8224,49.038418223542244,96.2378
SierraNevadaMountainsSnow,3,1268.309,success,50.74520371432633,112.4981,50.880985725657006,113.2704,50.384495106839886,114.5525,50.74520371432633,108.8348,50.880985725657006,107.3269,50.384495106839886,108.3179,50.572570714103925,91.8223,50.45198440244865,92.5265,50.56127858224735,92.8888,50.572570714103925,92.298,50.45198440244865,93.1409,50.56127858224735,93.2982
SierraNevadaMountainsSnow,4,1289.8167,success,51.513877831805324,112.5813,51.57445677460703,113.673,51.33852166213063,114.5543,51.513877831805324,112.1257,51.57445677460703,110.9416,51.33852166213063,113.3036,50.47605434487756,93.5319,50.57716169926392,94.6962,50.24697082601275,95.4577,50.47605434487756,94.5611,50.57716169926392,95.458,50.24697082601275,94.3077
SodiumConcentration,0,34975.7976,success,662.491569897234,3745.5076,662.101201360576,3629.5664,662.8783705533119,3694.8904,663.3467313163491,2993.2369,658.9401867186807,3230.6183,667.3390244486019,3372.2656,625.4522549537904,2040.7092,612.8966687622819,2231.9796,615.1693106108329,2386.9835,625.4522549537904,2023.6765,612.8966687622819,2177.4031,615.1693106108329,2332.8554
SodiumConcentration,1,34751.833,success,708.6745169687201,3750.8141,705.9838490869339,3662.8208,697.2215498042133,3699.2508,704.2979524117754,2945.6774,707.8989377800457,3186.3496,705.6812164008047,3367.8605,642.5324081354412,1981.1761,623.7947004209817,2177.3961,629.7099728879712,2367.7205,642.5324081354412,1984.4251,623.7947004209817,2158.8501,629.7099728879712,2322.944
SodiumConcentration,2,34490.9376,success,665.6220367772025,3768.7843,661.7223058274843,3617.7374,655.8761633297232,3670.4929,662.1633089233455,2909.6744,663.1709496745435,3267.0463,659.060839469164,3254.6485,590.6268270149579,2002.3562,595.9337654862474,2191.5916,601.654816675686,2349.5448,590.6268270149579,1980.7097,595.9337654862474,2140.7335,601.654816675686,2302.3074
SodiumConcentration,3,34780.2972,success,658.0316341375359,3740.146,677.6135009987729,3685.302,680.7220644327525,3711.6986,656.0085071884456,3084.9531,678.5414508833211,3273.2641,678.3842997660698,3224.7452,649.4690677701665,1993.864,643.7591360802799,2242.1086,654.9530770927944,2311.3211,649.4690677701665,1962.7751,643.7591360802799,2133.2122,654.9530770927944,2302.2163
SodiumConcentration,4,34806.4693,success,595.2053366570134,3774.9474,591.3120700172285,3533.1932,596.760699875077,3694.1335,594.4358806162312,3128.7853,592.0131636003147,3285.0237,595.8715615721153,3250.9933,577.6749400581231,1993.8179,570.5836607314554,2261.2115,579.9795318405467,2324.7811,577.6749400581231,1977.0164,570.5836607314554,2148.7253,579.9795318405467,2311.4264
