dataset,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}"
ACSF1,1.5,1.5,5.0,3.0,4.0,6.0
Adiac,3.0,6.0,2.0,5.0,1.0,4.0
ArrowHead,2.0,4.5,1.0,4.5,3.0,6.0
ArticularyWordRecognition,1.0,3.0,2.0,5.0,4.0,6.0
AtrialFibrillation,1.0,6.0,3.5,2.0,5.0,3.5
BME,1.5,6.0,1.5,5.0,3.0,4.0
BasicMotions,1.0,2.0,3.0,4.0,5.0,6.0
Beef,2.0,4.0,1.0,6.0,3.0,5.0
BeetleFly,1.0,5.0,2.0,6.0,3.0,4.0
BirdChicken,3.0,6.0,4.0,5.0,1.0,2.0
CBF,2.0,6.0,1.0,5.0,3.0,4.0
Car,1.0,5.0,2.0,4.0,3.0,6.0
Chinatown,5.5,5.5,3.5,3.5,1.0,2.0
ChlorineConcentration,5.0,6.0,2.0,4.0,1.0,3.0
CinCECGTorso,1.0,6.0,2.0,5.0,3.0,4.0
Coffee,3.0,6.0,3.0,3.0,3.0,3.0
Computers,4.0,3.0,5.0,1.0,6.0,2.0
Cricket,1.0,2.0,4.5,4.5,3.0,6.0
CricketX,1.5,4.0,1.5,5.0,3.0,6.0
CricketY,3.0,6.0,1.0,5.0,2.0,4.0
CricketZ,1.0,5.0,2.0,4.0,3.0,6.0
Crop,3.0,6.0,2.0,5.0,1.0,4.0
DiatomSizeReduction,1.0,4.0,2.5,5.0,2.5,6.0
DistalPhalanxOutlineAgeGroup,1.0,3.0,5.0,2.0,6.0,4.0
DistalPhalanxOutlineCorrect,1.0,5.0,3.0,4.0,2.0,6.0
DistalPhalanxTW,5.5,2.0,5.5,1.0,4.0,3.0
ECG200,3.0,6.0,2.0,5.0,1.0,4.0
