classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
AEON-TSC,DiatomSizeReduction,Continuous,et,Accuracy,322,345,0.9379086000000001,0.009803583339779346,0.19294
AEON-TSC,DiatomSizeReduction,Continuous,rf,Accuracy,322,345,0.9045754,0.014131974695703344,0.2673
AEON-TSC,DiatomSizeReduction,Continuous,rotf,Accuracy,322,345,0.9366014,0.012782417466973922,7.84362
AEON-TSC,DistalPhalanxOutlineAgeGroup,Continuous,et,Accuracy,539,80,0.7726620000000001,0.014918302266008713,0.25926
AEON-TSC,DistalPhalanxOutlineAgeGroup,Continuous,rf,Accuracy,539,80,0.7726618000000001,0.014918229928513618,0.5048199999999999
AEON-TSC,DistalPhalanxOutlineAgeGroup,Continuous,rotf,Accuracy,539,80,0.7553956,0.01970203683125172,4.02238
AEON-TSC,DistalPhalanxOutlineCorrect,Continuous,et,Accuracy,876,80,0.7782606,0.008650233742506624,0.33078
AEON-TSC,DistalPhalanxOutlineCorrect,Continuous,rf,Accuracy,876,80,0.772464,0.008262215441393406,0.8214
AEON-TSC,DistalPhalanxOutlineCorrect,Continuous,rotf,Accuracy,876,80,0.7869566,0.006968979645543491,6.39424
AEON-TSC,DistalPhalanxTW,Continuous,et,Accuracy,539,80,0.6992806,0.009380250252525304,0.25376000000000004
AEON-TSC,DistalPhalanxTW,Continuous,rf,Accuracy,539,80,0.684892,0.007881042951285028,0.53174
AEON-TSC,DistalPhalanxTW,Continuous,rotf,Accuracy,539,80,0.7035967999999999,0.016405348326079493,4.42398
AEON-TSC,ECG200,Continuous,et,Accuracy,200,96,0.884,0.013416407864998753,0.18439999999999998
AEON-TSC,ECG200,Continuous,rf,Accuracy,200,96,0.8140000000000001,0.011401754250991311,0.2771
AEON-TSC,ECG200,Continuous,rotf,Accuracy,200,96,0.858,0.01303840481040532,2.52712
AEON-TSC,ECG5000,Continuous,et,Accuracy,5000,140,0.9372,0.0007129144408692861,0.31256
AEON-TSC,ECG5000,Continuous,rf,Accuracy,5000,140,0.9365334000000001,0.0007947963890204771,0.7269
AEON-TSC,ECG5000,Continuous,rotf,Accuracy,5000,140,0.9394224,0.0008833005151136143,9.30914
AEON-TSC,ECGFiveDays,Continuous,et,Accuracy,884,136,0.7865274,0.016206220250261943,0.19248
AEON-TSC,ECGFiveDays,Continuous,rf,Accuracy,884,136,0.8053426,0.015486715865541009,0.26280000000000003
AEON-TSC,ECGFiveDays,Continuous,rotf,Accuracy,884,136,0.9033680000000001,0.012357220379195321,3.42076
AEON-TSC,EOGHorizontalSignal,Continuous,et,Accuracy,724,1250,0.5049724,0.006878408885781647,0.6306200000000001
AEON-TSC,EOGHorizontalSignal,Continuous,rf,Accuracy,724,1250,0.471823,0.016735039871479247,1.6046400000000003
AEON-TSC,EOGHorizontalSignal,Continuous,rotf,Accuracy,724,1250,0.46132619999999996,0.014486195487428721,87.91568
AEON-TSC,EOGVerticalSignal,Continuous,et,Accuracy,724,1250,0.4414364,0.005988657470585562,0.66378
AEON-TSC,EOGVerticalSignal,Continuous,rf,Accuracy,724,1250,0.39613240000000005,0.013617457941921464,1.7010200000000002
AEON-TSC,EOGVerticalSignal,Continuous,rotf,Accuracy,724,1250,0.414917,0.008603677091802094,94.34783999999999
AEON-TSC,Earthquakes,Continuous,et,Accuracy,461,512,0.748201,0.0,0.31786
AEON-TSC,Earthquakes,Continuous,rf,Accuracy,461,512,0.748201,0.0,0.90276
AEON-TSC,Earthquakes,Continuous,rotf,Accuracy,461,512,0.7568346,0.006019290805402234,22.360120000000002
AEON-TSC,EthanolLevel,Continuous,et,Accuracy,1004,1751,0.4864,0.010807404868885049,0.99482
AEON-TSC,EthanolLevel,Continuous,rf,Accuracy,1004,1751,0.4824,0.008763560920082663,2.7081600000000003
AEON-TSC,EthanolLevel,Continuous,rotf,Accuracy,1004,1751,0.7208,0.008318653737234182,122.8477
AEON-TSC,FaceAll,Continuous,et,Accuracy,2250,131,0.7543196,0.008319935835089116,0.43714
AEON-TSC,FaceAll,Continuous,rf,Accuracy,2250,131,0.807929,0.027425860989219647,1.07964
AEON-TSC,FaceAll,Continuous,rotf,Accuracy,2250,131,0.8175148,0.010589954848817834,17.396179999999998
