dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
electricity,rf,121958,100.5298,success,0.8896782764396697,7.3575,0.8694333737653787,8.1734,0.9029919713510078,13.7689,0.8846242707791833,11.5007,0.9081326171085312,23.154,0.8953387627794144,20.0248
electricity,rf,671155,100.0513,success,0.8907179576041125,7.2565,0.8692312135389592,5.9491,0.9001039681164443,12.6803,0.8847686709409115,14.1324,0.9066308554265582,24.32,0.8931727603534916,19.265
electricity,rf,131932,95.2775,success,0.8889851556633744,7.1487,0.8682204124068619,6.8465,0.9018367700571824,15.0993,0.8852018714260961,11.5395,0.9071506960087795,22.425,0.8924796395771963,20.5209
electricity,rf,365838,98.8685,success,0.8913533183157165,7.8403,0.870270894703402,7.2229,0.9027609310922428,13.2034,0.8844221105527638,11.3076,0.9093744584993936,23.1452,0.8951366025529949,19.6149
electricity,rf,259178,98.2031,success,0.8904002772483105,7.2807,0.870270894703402,8.1182,0.9019811702189107,13.4903,0.8850574712643677,10.3183,0.9067752555882863,21.9631,0.8935193207416393,20.164
eye_movements,rf,121958,50.7692,success,0.621002650258634,3.2069,0.6063964122016572,2.3073,0.61924909807902,6.3668,0.6210009227470914,7.5334,0.6072726444452378,14.0052,0.6100484995666505,9.4957
eye_movements,rf,671155,50.165,success,0.6204178556104905,3.0323,0.6128232030137015,2.3675,0.628597814710695,7.1188,0.6126777081526643,6.3596,0.6210039938787227,15.6766,0.6090272843173047,11.3979
eye_movements,rf,131932,45.6856,success,0.6249465591105184,3.1881,0.6215877008344137,2.6212,0.6215878927801407,6.378,0.6204191352486702,5.3565,0.6183729937992571,11.5254,0.6208554918679633,9.5357
eye_movements,rf,365838,48.2435,success,0.6199807951901984,2.8174,0.6182274349563112,2.4694,0.6169109431969891,6.3102,0.6157445529961513,7.1989,0.6248000405389376,12.7023,0.6226080203370336,9.6977
eye_movements,rf,259178,48.5497,success,0.6128229470860654,2.8565,0.605813856920328,2.5596,0.6201247544854197,6.1668,0.6192502497533817,5.2757,0.6139924724004439,13.7699,0.6084418498500712,13.1415
albert,rf,121958,320.8984,success,0.6471406732284827,17.8707,0.6509937345233624,16.8321,0.6451759944805563,59.3741,0.6489718573646011,45.6665,0.6413038703231999,95.6957,0.6479608827660699,79.0841
